Time Series Search Export,Search term,Search filters,,Last update of Effective exchange rates data,Downloaded at,Source,Source URL,Download URL,About Effective exchange rates
,,,,2024-11-28,2024-12-04 03:46 CET,BIS,"https://data.bis.org/topics/EER/BIS,WS_EER,1.0/M.N.B.JP?","https://data.bis.org/topics/EER/BIS,WS_EER,1.0/M.N.B.JP?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel",https://data.bis.org/topics/EER

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,EER_TYPE:Type,EER_BASKET:Basket,REF_AREA:Reference area,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-07-31,F:Free,,A:Normal value,84.1
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-08-31,F:Free,,A:Normal value,85.04
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-09-30,F:Free,,A:Normal value,83.71
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-10-31,F:Free,,A:Normal value,82.04
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-11-30,F:Free,,A:Normal value,81.81
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-12-31,F:Free,,A:Normal value,81.19
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1997-01-31,F:Free,,A:Normal value,79.05
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1997-02-28,F:Free,,A:Normal value,76.7
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1997-03-31,F:Free,,A:Normal value,77.33
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1997-04-30,F:Free,,A:Normal value,75.7
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1997-05-31,F:Free,,A:Normal value,80.06
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1997-06-30,F:Free,,A:Normal value,83.22
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1997-07-31,F:Free,,A:Normal value,83.85
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1997-08-31,F:Free,,A:Normal value,83.37
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1997-09-30,F:Free,,A:Normal value,81.87
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1997-10-31,F:Free,,A:Normal value,82.44
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1997-11-30,F:Free,,A:Normal value,80.39
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1997-12-31,F:Free,,A:Normal value,81.51
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1998-01-31,F:Free,,A:Normal value,85.12
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1998-02-28,F:Free,,A:Normal value,86.24
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1998-03-31,F:Free,,A:Normal value,83.25
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1998-04-30,F:Free,,A:Normal value,80.56
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1998-05-31,F:Free,,A:Normal value,79.28
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1998-06-30,F:Free,,A:Normal value,77.67
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1998-07-31,F:Free,,A:Normal value,77.36
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1998-08-31,F:Free,,A:Normal value,75.47
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1998-09-30,F:Free,,A:Normal value,80.44
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1998-10-31,F:Free,,A:Normal value,87.87
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1998-11-30,F:Free,,A:Normal value,87.98
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1998-12-31,F:Free,,A:Normal value,90.0
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1999-01-31,F:Free,,A:Normal value,93.61
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1999-02-28,F:Free,,A:Normal value,91.75
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1999-03-31,F:Free,,A:Normal value,90.48
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1999-04-30,F:Free,,A:Normal value,90.36
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1999-05-31,F:Free,,A:Normal value,88.41
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1999-06-30,F:Free,,A:Normal value,89.55
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1999-07-31,F:Free,,A:Normal value,90.53
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1999-08-31,F:Free,,A:Normal value,95.36
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1999-09-30,F:Free,,A:Normal value,101.47
"BIS,WS_EER,1.0",M.N.B.JP,M:Monthly,N:Nominal,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1999-10-31,F:Free,,A:Normal value,101.83
